Language,Family
Ambonese Malay,creole or pidgin
Gullah,creole or pidgin
Northern Altai,Turkic
Oki-No-Erabu,Japonic
Old Anatolian Turkish,Turkic
Proto-Permic,Uralic
Teop,Austronesian
Tuareg,Afroasiatic
Wik-Mungkan,Pama-Nyungan
Zaniza Zapotec,Oto-Manguean
Aiton,Kra-Dai
Aukan,creole or pidgin
Dena'ina,Dene-Yeniseian
Penobscot,Algic
Pirahã,Muran
Proto-Chamic,Austronesian
Sikkimese,Sino-Tibetan
Tarao,Sino-Tibetan
Teribe,Macro-Chibchan
Yindjibarndi,Pama-Nyungan
Capiznon,Austronesian
Harari,Afroasiatic
Jersey Dutch,Indo-European
Kedah Malay,Austronesian
Kipchak,Turkic
Mapun,Austronesian
Oscan,Indo-European
Proto-Anatolian,Indo-European
Proto-Bahnaric,Austroasiatic
Rarotongan,Austronesian
Thavung,Austroasiatic
Adangme,Niger-Congo
Creek,Muskogean
Gondi,Dravidian
Guajajára,Tupian
Haida,isolate
Nobiin,Nilo-Saharan
Primitive Irish,Indo-European
Rhine Franconian,Indo-European
Umbu-Ungu,Trans-New Guinea
Warao,isolate
Ama,Arai-Samaia
Beaver,Dene-Yeniseian
Casiguran Dumagat Agta,Austronesian
Communicationssprache,constructed
Hunzib,North Caucasian
Kimaragang,Austronesian
Ledo Kaili,Austronesian
Narungga,Pama-Nyungan
Ngam,Nilo-Saharan
Old Khmer,Austroasiatic
Proto-Trans-New Guinea,Trans-New Guinea
Tunica,isolate
Tzeltal,Mayan
Western Neo-Aramaic,Afroasiatic
Apalaí,Cariban
Assan,Dene-Yeniseian
Ixil,Mayan
Jurchen,Tungusic
Kikai,Japonic
Pontic Greek,Indo-European
Proto-Georgian-Zan,Kartvelian
Proto-Zapotec,Oto-Manguean
Puyuma,Austronesian
Samoan Plantation Pidgin,creole or pidgin
Woi,Austronesian
Abau,Sepik
Algerian Arabic,Afroasiatic
Angloromani,creole or pidgin
Brahui,Dravidian
Buhid,Austronesian
Cupeño,Uto-Aztecan
Eastern Pwo,Sino-Tibetan
Kilivila,Austronesian
Kodava,Dravidian
Middle Norwegian,Indo-European
Miriwung,unclassified
Moabite,Afroasiatic
Mori Bawah,Austronesian
Nalca,Trans-New Guinea
Proto-West Semitic,Afroasiatic
Sathmar Swabian,Indo-European
Sinte Romani,mixed
Southern Thai,Kra-Dai
Uab Meto,Austronesian
A-Pucikwar,Great Andamanese
Aguaruna,Jivaroan
Ashe,Niger-Congo
Bariai,Austronesian
Eastern Cham,Austronesian
Gottscheerish,Indo-European
Kayapó,Macro-Jê
Klamath-Modoc,Plateau Penutian
Lingao,Kra-Dai
Old Welsh,Indo-European
Pacoh,Austroasiatic
Phake,Kra-Dai
Phrygian,Indo-European
Rabha,Sino-Tibetan
Rotuman,Austronesian
Zia,Trans-New Guinea
Zuni,isolate
Acholi,Nilo-Saharan
Agutaynen,Austronesian
Atayal,Austronesian
Bakung,Austronesian
Butuanon,Austronesian
Chachi,Barbacoan
Chol,Mayan
Coast Miwok,Yok-Utian
Copainalá Zoque,Mixe-Zoquean
Curripaco,Arawakan
Galibi Carib,Cariban
Hinukh,North Caucasian
Kerek,Chukotko-Kamchatkan
Kohistani Shina,Indo-European
Lepontic,Indo-European
Macanese,creole or pidgin
Oroch,Tungusic
Potawatomi,Algic
Proto-Nuristani,Indo-European
Proto-Tsezian,North Caucasian
Tagal Murut,Austronesian
Tapayuna,Macro-Jê
Xicotepec de Juárez Totonac,Totonacan
Ancient Macedonian,Indo-European
Arawak,Arawakan
Catawba,Siouan-Catawban
Coatlán Mixe,Mixe-Zoquean
Ditidaht,Wakashan
German Sign Language,German Sign Languages
Gojri,Indo-European
Kanuri,Nilo-Saharan
Lower Chehalis,Salishan
Lun Bawang,Austronesian
Proto-Chukotko-Kamchatkan,Chukotko-Kamchatkan
Proto-Eskimo,Eskimo-Aleut
Proto-Yukaghir,Yukaghir
Satawalese,Austronesian
Sauraseni Prakrit,Indo-European
Shuswap,Salishan
Southern Amami-Oshima,Japonic
Zarma,Nilo-Saharan
Aari,Afroasiatic
Assiniboine,Siouan-Catawban
Balkan Romani,Indo-European
Baure,Arawakan
Canela,Macro-Jê
Duala,Niger-Congo
Ga,Niger-Congo
Glosa,constructed
Gourmanchéma,Niger-Congo
Itawit,Austronesian
Khasi,Austroasiatic
Kwanyama,Niger-Congo
Northern Amami-Oshima,Japonic
Olekha,Sino-Tibetan
Pass Valley Yali,Trans-New Guinea
Proto-North Halmahera,West Papuan
Proto-Trique,Oto-Manguean
Tai Do,Kra-Dai
Tlamacazapa Nahuatl,Uto-Aztecan
Tofa,Turkic
Toku-No-Shima,Japonic
Angguruk Yali,Trans-New Guinea
Arem,Austroasiatic
Ayutla Mixtec,Oto-Manguean
Bissa,Niger-Congo
Carpathian Romani,Indo-European
Eton (Cameroon),Niger-Congo
Huaxcaleca Nahuatl,Uto-Aztecan
Inonhan,Austronesian
Jumaytepeque,Xincan
Mogholi,Mongolic
Mulam,Kra-Dai
Nez Perce,Plateau Penutian
Northern Tarahumara,Uto-Aztecan
Pictish,Indo-European
Proto-Athabaskan,Dene-Yeniseian
Proto-Otomi,Oto-Manguean
Proto-Salish,Salishan
Rakhine,Sino-Tibetan
Saurashtra,Indo-European
Tabaa Zapotec,Oto-Manguean
Tai Laing,Kra-Dai
Tsez,North Caucasian
Western Highland Chatino,Oto-Manguean
Atikamekw,Algic
Broome Pearling Lugger Pidgin,creole or pidgin
Carolinian,Austronesian
Cochimi,Yuman-Cochimí
Dhuwal,Pama-Nyungan
Gabrielino-Fernandeño,Uto-Aztecan
Iranun,Austronesian
Jutish,Indo-European
Kamkata-viri,Indo-European
Nukunu,unclassified
Omaha-Ponca,Siouan-Catawban
Proto-Great Andamanese,Great Andamanese
Proto-Inuit,Eskimo-Aleut
Proto-Zapotecan,Oto-Manguean
Sarcee,Dene-Yeniseian
South Marquesan,Austronesian
Southern Sierra Miwok,Yok-Utian
Tày,Kra-Dai
Vlax Romani,Indo-European
Andalusian Arabic,Afroasiatic
Berbice Creole Dutch,creole or pidgin
Bola,Austronesian
Caribbean Hindustani,Indo-European
Comox,Salishan
Fataluku,Timor-Alor-Pantar
Iwaidja,Iwaidjan
Karajá,Macro-Jê
Northern Khmer,Austroasiatic
Northern Qiang,Sino-Tibetan
Oluta Popoluca,Mixe-Zoquean
Panyjima,Pama-Nyungan
Proto-Batak,Austronesian
Proto-Central New South Wales,Pama-Nyungan
Proto-Eastern Malayo-Polynesian,Austronesian
Proto-Malayo-Chamic,Austronesian
Proto-Northwest Caucasian,North Caucasian
Sabaean,Afroasiatic
Sayula Popoluca,Mixe-Zoquean
Southern Kam,Kra-Dai
Sursurunga,Austronesian
Tachawit,Afroasiatic
Tangam,Sino-Tibetan
Taíno,Arawakan
Woods Cree,Algic
Afrihili,constructed
Anuta,Austronesian
Ch'orti',Mayan
Highland Totonac,Totonacan
Kiput,Austronesian
Lake Miwok,Yok-Utian
Lower Tanana,Dene-Yeniseian
Mandalorian,constructed
Manggarai,Austronesian
Massachusett,Algic
Miami,Algic
Paumarí,Arauan
Philistine,unclassified
Proto-Mixe-Zoque,Mixe-Zoquean
Proto-Nyulnyulan,Nyulnyulan
Proto-Sunda-Sulawesi,Austronesian
Quiripi,Algic
Savi,Indo-European
Sherpa,Sino-Tibetan
Swabian,Indo-European
Tacana,Pano-Tacanan
Tepecano,Uto-Aztecan
Wandala,Afroasiatic
Warungu,Pama-Nyungan
Whitesands,Austronesian
Adele,Niger-Congo
Balti,Sino-Tibetan
Central Bontoc,Austronesian
Chipaya,Uru-Chipaya
Cowlitz,Salishan
Cuiba,Guahiban
Eastern Durango Nahuatl,Uto-Aztecan
Godoberi,North Caucasian
Jemez,Kiowa-Tanoan
Koko-Bera,Pama-Nyungan
Kosraean,Austronesian
Lele (Guinea),Niger-Congo
Maaka,Afroasiatic
Mehri,Afroasiatic
Michoacán Mazahua,Oto-Manguean
Murrinh-Patha,Daly
Najdi Arabic,Afroasiatic
Neo,constructed
Powhatan,Algic
Proto-Malayo-Sumbawan,Austronesian
Proto-Nawiki,Arawakan
Proto-Scythian,Indo-European
Quapaw,Siouan-Catawban
Sabir,creole or pidgin
Sikaiana,Austronesian
Surigaonon,Austronesian
Tauya,Trans-New Guinea
Teojomulco Chatino,Oto-Manguean
Toro,Niger-Congo
Uma,Austronesian
Woleaian,Austronesian
Zay,Afroasiatic
Aeka,Trans-New Guinea
Allentiac,Huarpean
Ammonite,Afroasiatic
Annobonese,creole or pidgin
Arigidi,Niger-Congo
Baltic Romani,Indo-European
Bemba,Niger-Congo
Berawan,Austronesian
Bundeli,Indo-European
Car Nicobarese,Austroasiatic
East Futuna,Austronesian
Eastern Magar,Sino-Tibetan
Forest Enets,Uralic
Fulniô,isolate
Hanunoo,Austronesian
Hoyahoya,Trans-New Guinea
Huarijio,Uto-Aztecan
Jutiapa,Xincan
Karaim,Turkic
Lavukaleve,Papuan
Lotud,Austronesian
Mahou,Niger-Congo
Minaean,Afroasiatic
Mokpwe,Niger-Congo
Mongghul,Mongolic
Osage,Siouan-Catawban
Palenquero,creole or pidgin
Proto-Central-Eastern Malayo-Polynesian,Austronesian
Proto-Tupian,Tupian
Selkup,Uralic
Sinacantán,Xincan
Tangkhul Naga,Sino-Tibetan
Tavoyan,Sino-Tibetan
Tlahuica,Oto-Manguean
Toda,Dravidian
Tuamotuan,Austronesian
Xârâcùù,Austronesian
A-Hmao,Hmong-Mien
Adja,Niger-Congo
Ai-Cham,Kra-Dai
Aka-Bea,Great Andamanese
Anjam,Trans-New Guinea
Ankave,Trans-New Guinea
Anyi,Niger-Congo
Apinayé,Macro-Jê
Awabakal,Pama-Nyungan
Bintulu,Austronesian
Dimasa,Sino-Tibetan
East Franconian,Indo-European
Edo,Niger-Congo
Fox,Algic
Fyam,Niger-Congo
Ghotuo,Niger-Congo
Isubu,Niger-Congo
Kapingamarangi,Austronesian
Khün,Kra-Dai
Kickapoo,Algic
Kuna,Macro-Chibchan
Mandar,Austronesian
Mauwake,Trans-New Guinea
Maxakalí,Macro-Jê
Moken,Austronesian
Mundolinco,constructed
Nootka,Wakashan
Nuer,Nilo-Saharan
Nyankole,Niger-Congo
Proto-Berber,Afroasiatic
Proto-Shughni-Yazghulami-Munji,Indo-European
Ratahan,Austronesian
Rungus,Austronesian
Rutul,North Caucasian
Singpho,Sino-Tibetan
Situ,Sino-Tibetan
Suyá,Macro-Jê
Timugon Murut,Austronesian
Tiwi,isolate
Varhadi,Indo-European
Vurës,Austronesian
West Uvean,Austronesian
Yao,Niger-Congo
Aghul,North Caucasian
Ashkun,Indo-European
Baekje,Koreanic
Banyumasan,Austronesian
Baoule,Niger-Congo
Barunggam,Pama-Nyungan
Boko,Niger-Congo
Chiquitano,isolate
Dhudhuroa,Pama-Nyungan
Dura,Sino-Tibetan
East Yugur,Mongolic
Franc-Comtois,Indo-European
French Sign Language,French Sign Languages
Futuna-Aniwa,Austronesian
Gallurese,Indo-European
Hanga Hundi,Sepik
Hän,Dene-Yeniseian
Inabaknon,Austronesian
Itene,Chapacuran
Karipúna Creole French,creole or pidgin
Knaanic,Indo-European
Kulon-Pazeh,Austronesian
Kurukh,Dravidian
Kwaza,unclassified
Lampung Api,Austronesian
Mangarevan,Austronesian
Middle Assamese,Indo-European
Middle Mongolian,Mongolic
Motu,Austronesian
Palu'e,Austronesian
Proto-Otomian,Oto-Manguean
Proto-Samoyedic,Uralic
Proto-Shughni-Roshani,Indo-European
Proto-Ta-Arawak,Arawakan
Saramaccan,creole or pidgin
Sassarese,Indo-European
Sheshi Kham,Sino-Tibetan
Simbari,Trans-New Guinea
Sogdian,Indo-European
Southeast Pashayi,Indo-European
Sãotomense,creole or pidgin
Tanimuca-Retuarã,Tucanoan
Tocantins Asurini,Tupian
Uspanteco,Mayan
Western Arrernte,Pama-Nyungan
Xavante,Macro-Jê
Yawuru,Nyulnyulan
Yupiltepeque,Xincan
Zangskari,Sino-Tibetan
Akhvakh,North Caucasian
Aneme Wake,Trans-New Guinea
Baenan,unclassified
Buol,Austronesian
Caranqui,Barbacoan
Central Dusun,Austronesian
Central Malay,Austronesian
Central Tagbanwa,Austronesian
Dieri,Pama-Nyungan
Eblaite,Afroasiatic
Guianese Creole,creole or pidgin
Horpa,Sino-Tibetan
Hutterisch,Indo-European
Jaqaru,Aymaran
Judeo-Italian,Indo-European
Karamojong,Nilo-Saharan
Kembra,Pauwasi
Kermanic,Indo-European
Khotanese,Indo-European
Kichwa,Quechuan
Kumak,Austronesian
Kunjen,Pama-Nyungan
Kutenai,isolate
Lahu,Sino-Tibetan
Lawi,Austroasiatic
Lovono,Austronesian
Mamanwa,Austronesian
Mende,Niger-Congo
Meru,Niger-Congo
Muna,Austronesian
Mundurukú,Tupian
Oneida,Iroquoian
Pará Arára,Cariban
Principense,creole or pidgin
Proto-Oto-Manguean,Oto-Manguean
Proto-Shughni-Yazghulami,Indo-European
Proto-Siouan,Siouan-Catawban
Rawa,Trans-New Guinea
Rejang,Austronesian
Romblomanon,Austronesian
Sabah Bisaya,Austronesian
Shoshone,Uto-Aztecan
Sinicahua Mixtec,Oto-Manguean
Siraya,Austronesian
Tabasco Chontal,Mayan
Taushiro,unclassified
Toraja-Sa'dan,Austronesian
Tsimshian,Tsimshianic
Ventureño,Chumashan
Wageman,Arnhem
Yankunytjatjara,Pama-Nyungan
Zipser German,Indo-European
Aasax,Afroasiatic
Angor,Papuan
Argobba,Afroasiatic
Bilaspuri,Indo-European
Cayuga,Iroquoian
Chiricahua,Dene-Yeniseian
Coastal Kadazan,Austronesian
Dhangu,Pama-Nyungan
Fordata,Austronesian
Huaorani,isolate
Karitiâna,Tupian
Kassonke,Niger-Congo
Leti (Indonesia),Austronesian
Malinaltepec Tlapanec,Oto-Manguean
Nafaanra,Niger-Congo
Niuatoputapu,Austronesian
Pamona,Austronesian
Proto-Sogdic,Indo-European
Proto-South Sulawesi,Austronesian
Simeulue,Austronesian
Susu,Niger-Congo
Tae',Austronesian
Tasmanian,unclassified
Traveller Norwegian,Indo-European
Ubykh,North Caucasian
Ughele,Austronesian
Western Yugur,Turkic
Yale,Papuan
Yemeni Arabic,Afroasiatic
Yevanic,Indo-European
Yine,Arawakan
Achuar,Jivaroan
Ahirani,Indo-European
Amahuaca,Pano-Tacanan
Amarizana,Arawakan
Anal,Sino-Tibetan
Ansus,Austronesian
Bagheli,Indo-European
Beja,Afroasiatic
Brokskat,Indo-European
Bu-Nao Bunu,Hmong-Mien
Charrua,Charruan
Dairi Batak,Austronesian
Elamite,isolate
Esmeralda,unclassified
Fakkanci,Niger-Congo
Fon,Niger-Congo
Fuyug,Trans-New Guinea
Gayo,Austronesian
Guanche,Afroasiatic
Hidatsa,Siouan-Catawban
Hupdë,Nadahup
Ida'an,Austronesian
Jeru,Great Andamanese
Juǀ'hoan,Kx'a
Kamayurá,Tupian
Kelabit,Austronesian
Kinaray-a,Austronesian
Kotava,constructed
Krymchak,Turkic
Lenakel,Austronesian
Lisu,Sino-Tibetan
Lusitanian,Indo-European
Mambae,Austronesian
Mato Grosso Arára,unclassified
Mentawai,Austronesian
Middle Kannada,Dravidian
Muduapa,Austronesian
North Wahgi,Trans-New Guinea
Northern Oaxaca Nahuatl,Uto-Aztecan
Northern Valley Yokuts,Yok-Utian
Obokuitai,Lakes Plain
Proto-Ugric,Uralic
Sangir,Austronesian
Siberian Tatar,Turkic
Sierra Negra Nahuatl,Uto-Aztecan
Southern Haida,isolate
Tambunan Dusun,Austronesian
Tepeuxila Cuicatec,Oto-Manguean
Tonkawa,isolate
Tz'utujil,Mayan
Urubú-Kaapor,Tupian
Volga German,Indo-European
Wancho,Sino-Tibetan
Wari',Chapacuran
Winnebago,Siouan-Catawban
Xibe,Tungusic
Yidiny,Pama-Nyungan
Aghu Tharrnggala,Pama-Nyungan
Akkala Sami,Uralic
Amasi,Niger-Congo
Ambai,Austronesian
Angaataha,Trans-New Guinea
Apurinã,Arawakan
Arammba,Trans-New Guinea
Barasana,Tucanoan
Baruya,Trans-New Guinea
Betoi,isolate
Biak,Austronesian
Blin,Afroasiatic
Bughotu,Austronesian
Bwatoo,Austronesian
Cemuhî,Austronesian
Chilcotin,Dene-Yeniseian
Choapan Zapotec,Oto-Manguean
Chuj,Mayan
Cocopa,Yuman-Cochimí
Cypriot Arabic,Afroasiatic
Deccani,Indo-European
Dení,Arauan
Dibiyaso,Trans-New Guinea
Drung,Sino-Tibetan
Eastern Tamang,Sino-Tibetan
Estado de México Otomi,Oto-Manguean
Gurjar Apabhramsa,Indo-European
Havasupai-Walapai-Yavapai,Yuman-Cochimí
Iatmul,Sepik
Ibibio,Niger-Congo
Jehai,Austroasiatic
Kanoé,isolate
Kansa,Siouan-Catawban
Kawésqar,Alacalufan
Kaxuyana,Cariban
Kiliwa,Yuman-Cochimí
Komodo,Austronesian
Kullu Pahari,Indo-European
Lorrain,Indo-European
Mag-Anchi Ayta,Austronesian
Maléku Jaíka,Macro-Chibchan
Manado Malay,unclassified
Manam,Austronesian
Mato,Austronesian
Midob,Nilo-Saharan
Mongondow,Austronesian
Movima,isolate
Nalik,Austronesian
Naxi,Sino-Tibetan
Ndonga,Niger-Congo
North Marquesan,Austronesian
Nubi,creole or pidgin
Old Bengali,Indo-European
Old Catalan,Indo-European
Old Mon,Austroasiatic
Old Ossetic,Indo-European
Omani Arabic,Afroasiatic
Palawan Batak,Austronesian
Penrhyn,Austronesian
Pileni,Austronesian
Proto-Lezghian,North Caucasian
Proto-Mordvinic,Uralic
Proto-Nubian,Nilo-Saharan
Proto-Nuclear Polynesian,Austronesian
Puluwat,Austronesian
Qatabanian,Afroasiatic
Rincón Zapotec,Oto-Manguean
Sabu,Austronesian
Shaozhou Tuhua,Sino-Tibetan
Shelta,creole or pidgin
Sika,Austronesian
Suruí,Tupian
Swedish Sign Language,sign language
To'abaita,Austronesian
Tsafiki,Barbacoan
Warekena,Arawakan
Wintu,Wintuan
Xingú Asuriní,Tupian
Yurumanguí,unclassified
Abui,Timor-Alor-Pantar
Abung,Austronesian
Ahtna,Dene-Yeniseian
Alak,Austroasiatic
Aloápam Zapotec,Oto-Manguean
Alungul,Pama-Nyungan
Banoni,Austronesian
Bende,Niger-Congo
Bilba,Austronesian
Bima,Austronesian
Bonggi,Austronesian
Central Bai,Sino-Tibetan
Chaap Wuurong,Pama-Nyungan
Chulym,Turkic
Classical Mandaic,Afroasiatic
Classical Quechua,Quechuan
Djambarrpuyngu,Pama-Nyungan
Dumi,Sino-Tibetan
Eshtehardi,Indo-European
Folopa,Papuan
Gilaki,Indo-European
Goemai,Afroasiatic
Golin,Trans-New Guinea
Grass Koiari,Trans-New Guinea
Hixkaryana,Cariban
Hupa,Dene-Yeniseian
Ili Turki,Turkic
Indonesian Bajau,Austronesian
Kaiwá,Tupian
Kanamari,Harákmbut-Katukinan
Karok,isolate
Kassite,unclassified
Kombio,Torricelli
Kono (Sierra Leone),Niger-Congo
Korean Sign Language,Japanese Sign Languages
Kuku-Thaypan,Pama-Nyungan
Kwak'wala,Wakashan
Limilngan,unclassified
Mayoyao Ifugao,Austronesian
Menya,Trans-New Guinea
Montagnais,Algic
Mundari,Austroasiatic
Muzo,unclassified
Navarro-Aragonese,Indo-European
Nde-Nsele-Nta,Niger-Congo
Ngaanyatjarra,Pama-Nyungan
Ngadjuri,Pama-Nyungan
Nimadi,Indo-European
North Mesopotamian Arabic,Afroasiatic
North Muyu,Trans-New Guinea
Old Leonese,Indo-European
Ongota,unclassified
Otomaco,Otomacoan
Pangwali,Indo-European
Pecheneg,Turkic
Poitevin-Saintongeais,Indo-European
Proto-Indo-Aryan,Indo-European
Proto-Northeast Caucasian,North Caucasian
Proto-Oto-Pamean,Oto-Manguean
Proto-Saka-Wakhi,Indo-European
Pykobjê,Macro-Jê
Quinault,Salishan
Raga,Austronesian
Safaitic,Afroasiatic
Serer,Niger-Congo
Shughni,Indo-European
Southern Valley Yokuts,Yok-Utian
Sui,Kra-Dai
Tadyawan,Austronesian
Tarok,Niger-Congo
Tikopia,Austronesian
Toba,Mataco-Guaicuru
Tsakhur,North Caucasian
Tuwali Ifugao,Austronesian
Unserdeutsch,creole or pidgin
Ura (Vanuatu),Austronesian
Urartian,Hurro-Urartian
Varli,Indo-European
Waskia,Trans-New Guinea
Wawa,Niger-Congo
Xerénte,Macro-Jê
Yamdena,Austronesian
Yanyuwa,Pama-Nyungan
Yombe,Niger-Congo
Zenaga,Afroasiatic
Abanyom,Niger-Congo
Abenlen Ayta,Austronesian
Abipon,Mataco-Guaicuru
Abron,Niger-Congo
Abu' Arapesh,Torricelli
Achagua,Arawakan
Adzera,Austronesian
Aisi,Trans-New Guinea
Akawaio,Cariban
Akoye,Trans-New Guinea
Alagwa,Afroasiatic
Alune,Austronesian
Alyawarr,Pama-Nyungan
Amahai,Austronesian
Amaimon,Trans-New Guinea
Amele,Trans-New Guinea
Andio,Austronesian
Angika,Indo-European
Arikem,Tupian
Arosi,Austronesian
Asilulu,Austronesian
Atakapa,isolate
Aynu,Turkic
Baagandji,Pama-Nyungan
Baharna Arabic,Afroasiatic
Bamu,Kiwaian
Banggai,Austronesian
Bardi,Nyulnyulan
Bargam,Trans-New Guinea
Baruga,Trans-New Guinea
Basay,Austronesian
Batad Ifugao,Austronesian
Bay Miwok,Yok-Utian
Baybayanon,Austronesian
Black Speech,constructed
Bonggo,Austronesian
Botolan Sambal,Austronesian
Buli (Indonesia),Austronesian
Bura Mabang,Nilo-Saharan
Burarra,Arnhem
Caac,Austronesian
Cavere,Arawakan
Cavineña,Pano-Tacanan
Central Pomo,Hokan
Central Siberian Yupik,Eskimo-Aleut
Chamacoco,Zamucoan
Chapacura,Chapacuran
Chittagonian,Indo-European
Chocangaca,Sino-Tibetan
Chru,Austronesian
Chut,Austroasiatic
Cumbric,Indo-European
Dahalo,Afroasiatic
Digo,Niger-Congo
Dime,Afroasiatic
Duun,Niger-Congo
Dâw,Nadahup
Eastern Bontoc,Austronesian
Eastern Bru,Austroasiatic
Eastern Mnong,Austroasiatic
Edomite,Afroasiatic
Efik,Niger-Congo
Ega,Niger-Congo
Erromintxela,mixed
Ewondo,Niger-Congo
Gagadu,Arnhem
Gaikundi,Sepik
Gela,Austronesian
Girawa,Trans-New Guinea
Gurindji,Pama-Nyungan
Hamtai,Trans-New Guinea
Herero,Niger-Congo
Hungarian Sign Language,sign language
Hurrian,Hurro-Urartian
Iau,Lakes Plain
Imonda,Border
Iraqw,Afroasiatic
Japhug,Sino-Tibetan
Jicarilla,Dene-Yeniseian
Kadaru,Nilo-Saharan
Kadiwéu,Mataco-Guaicuru
Kairiru,Austronesian
Kala Lagaw Ya,Pama-Nyungan
Kathlamet,Chinookan
Kerinci,Austronesian
Khamnigan Mongol,Mongolic
Kings River Yokuts,Yok-Utian
Kirikiri,Lakes Plain
Kou,Trans-New Guinea
Koyukon,Dene-Yeniseian
Kui (India),Dravidian
Kurtjar,Pama-Nyungan
Kusunda,isolate
Kuvi,Dravidian
Lai,Sino-Tibetan
Lamba,Niger-Congo
Luiseño,Uto-Aztecan
Lule,unclassified
Makhuwa,Niger-Congo
Malalí,unclassified
Mandan,Siouan-Catawban
Mangghuer,Mongolic
Maranungku,Daly
Marrucinian,Indo-European
Mator,Uralic
Messapic,Indo-European
Mochica,unclassified
Moma,Austronesian
Mon ,Austroasiatic
Mountain Koiari,Trans-New Guinea
Mussau-Emira,Austronesian
Muyuw,Austronesian
Mwotlap,Austronesian
Nandi,Nilo-Saharan
Narragansett,Algic
Ndzwani Comorian,Niger-Congo
Nengone,Austronesian
Nheengatu,Tupian
Nkem-Nkum,Niger-Congo
Northern Roglai,Austronesian
Nukuoro,Austronesian
Nupe,Niger-Congo
Nyakyusa,Niger-Congo
Nyamwezi,Niger-Congo
Nyâlayu,Austronesian
Ontong Java,Austronesian
Orejón,Tucanoan
Ozumacín Chinantec,Oto-Manguean
Palikur,Arawakan
Parya,Indo-European
Pericú,unclassified
Proto-Afroasiatic,Afroasiatic
Proto-Halmahera-Cenderawasih,Austronesian
Proto-Karen,Sino-Tibetan
Proto-Yeniseian,Dene-Yeniseian
Quileute,Chimakuan
Rembong,Austronesian
Rennellese,Austronesian
Réunion Creole French,creole or pidgin
Santa María La Alta Nahuatl,Uto-Aztecan
Sauraseni Apabhramsa,Indo-European
Savosavo,Papuan
Sechura,unclassified
Sindarin,constructed
Soqotri,Afroasiatic
Southern East Cree,Algic
Sumbawa,Austronesian
Tapachultec,Mixe-Zoquean
Taparita,Otomacoan
Tapirapé,Tupian
Tariana,Arawakan
Tarpia,Austronesian
Timote,unclassified
Tindi,North Caucasian
Tulu-Bohuai,Austronesian
Tuscarora,Iroquoian
Ubir,Austronesian
Unua,Austronesian
Upper Kuskokwim,Dene-Yeniseian
Uyajitaya,Trans-New Guinea
Venetic,Indo-European
Volscian,Indo-European
Waiwai,Cariban
Wandamen,Austronesian
Wayampi,Tupian
Wemba-Wemba,Pama-Nyungan
Weri,Papuan
Western Durango Nahuatl,Uto-Aztecan
Western Keres,Keresan
Western Maninkakan,Niger-Congo
Wusa Nasu,Sino-Tibetan
Wuvulu-Aua,Austronesian
Yagaria,Trans-New Guinea
Yao (South America),Cariban
Yimas,Lower Sepik
Yug,Dene-Yeniseian
Yuki,unclassified
Zuojiang Zhuang,Kra-Dai
Acheron,Niger-Congo
Aguacateca,Mayan
Aka-Bo,Great Andamanese
Alaba,Afroasiatic
Alekano,Trans-New Guinea
Alladian,Niger-Congo
Ambala Ayta,Austronesian
Amganad Ifugao,Austronesian
Amondawa,Tupian
Amurdag,Iwaidjan
Anaang,Niger-Congo
Anakalangu,Austronesian
Angami,Sino-Tibetan
Angkula,Pama-Nyungan
Anuki,Austronesian
Anus,Austronesian
Apiaká,Tupian
Araki,Austronesian
Arifama-Miniafia,Austronesian
Arta,Austronesian
Ashéninka Perené,Arawakan
Atsahuaca,Pano-Tacanan
Atsugewi,Palaihnihan
Attié,Niger-Congo
Au,Torricelli
Auhelawa,Austronesian
Awa-Cuaiquer,Barbacoan
Awar,Papuan
Awetí,Tupian
Awtuw,Sepik
Ayere,Niger-Congo
Babine-Witsuwit'en,Dene-Yeniseian
Babuza,Austronesian
Bagvalal,North Caucasian
Baldemu,Afroasiatic
Bantawa,Sino-Tibetan
Bantayanon,Austronesian
Baram Kayan,Austronesian
Bari,Nilo-Saharan
Batu,Niger-Congo
Bau,Trans-New Guinea
Bauro,Austronesian
Belait,Austronesian
Bepour,Trans-New Guinea
Biloxi,Siouan-Catawban
Birgid,Nilo-Saharan
Bourbonnais-Berrichon,Indo-European
Brunei Bisaya,Austronesian
Bukhari,Indo-European
Bulu (Cameroon),Niger-Congo
Bunama,Austronesian
Burgundian,Indo-European
Bwanabwana,Austronesian
Calamian Tagbanwa,Austronesian
Camarines Norte Agta,Austronesian
Central Nicobarese,Austroasiatic
Chamalal,North Caucasian
Chepang,Sino-Tibetan
Chilean Sign Language,sign language
Chiquimulilla,Xincan
Chitimacha,isolate
Churuya,Guahiban
Coastal Konjo,Austronesian
Cogui,Macro-Chibchan
Copallén,unclassified
Coroado Puri,Macro-Jê
Cosoleacaque Nahuatl,Uto-Aztecan
Cuban Sign Language,sign language
Daba,Afroasiatic
Dadibi,Trans-New Guinea
Deg Xinag,Dene-Yeniseian
Desano,Tucanoan
Dobu,Austronesian
Dukhan,Turkic
Dyaabugay,Pama-Nyungan
Dyirbal,Pama-Nyungan
Ejagham,Niger-Congo
Embaloh,Austronesian
Esan,Niger-Congo
Etulo,Niger-Congo
Fang (Bantu),Niger-Congo
Gafat,Afroasiatic
Gedaged,Austronesian
Gobasi,Trans-New Guinea
Gros Ventre,Algic
Guanano,Tucanoan
