Language,Family
Old Portuguese,Indo-European
Skolt Sami,Uralic
Sakizaya,Austronesian
Southern Ndebele,Niger-Congo
Mon,Austroasiatic
Gamilaraay,Pama-Nyungan
Ossetian,Indo-European
Urak Lawoi',Austronesian
Inari Sami,Uralic
North Frisian,Indo-European
Old Occitan,Indo-European
Proto-Brythonic,Indo-European
Shan,Kra-Dai
Ainu,isolate
Bourguignon,Indo-European
Evenki,Tungusic
Rwanda-Rundi,Niger-Congo
Gulf Arabic,Afroasiatic
Old Javanese,Austronesian
Tausug,Austronesian
Pite Sami,Uralic
Ewe,Niger-Congo
Sumerian,isolate
Taos,Kiowa-Tanoan
Oriya,Indo-European
Võro,Uralic
Tarantino,Indo-European
Old Frisian,Indo-European
Sambali,Austronesian
Old Polish,Indo-European
Lakota,Siouan-Catawban
Middle Irish,Indo-European
Votic,Uralic
Anguthimri,Pama-Nyungan
Limos Kalinga,Austronesian
Egyptian Arabic,Afroasiatic
Tetum,Austronesian
Balinese,Austronesian
Cahuilla,Uto-Aztecan
Kalasha,Indo-European
Limburgish,Indo-European
Proto-Italic,Indo-European
Oroqen,Tungusic
Western Apache,Dene-Yeniseian
Fula,Niger-Congo
Lombard,Indo-European
Kapampangan,Austronesian
Tetelcingo Nahuatl,Uto-Aztecan
Northern Ndebele,Niger-Congo
Chamicuro,Arawakan
Louisiana Creole French,creole or pidgin
Dakota,Siouan-Catawban
Old Georgian,Kartvelian
Avar,North Caucasian
Maquiritari,Cariban
Ingush,North Caucasian
Na'vi,constructed
Santali,Austroasiatic
Newar,Sino-Tibetan
Shona,Niger-Congo
Inuktitut,Eskimo-Aleut
Istriot,Indo-European
Brunei Malay,Austronesian
Higaonon,Austronesian
Akkadian,Afroasiatic
Konkani,Indo-European
Mansaka,Austronesian
Middle Armenian,Indo-European
Buryat,Mongolic
Old Gujarati,Indo-European
Ludian,Uralic
Khumi Chin,Sino-Tibetan
Mirandese,Indo-European
Tocharian A,Indo-European
Lingala,Niger-Congo
Aghwan,North Caucasian
Atong (India),Sino-Tibetan
Namuyi,Sino-Tibetan
Franco-Provençal,Indo-European
Baluchi,Indo-European
Polabian,Indo-European
Proto-Malayo-Polynesian,Austronesian
Fijian,Austronesian
Romagnol,Indo-European
Central Kurdish,Indo-European
Livvi,Uralic
Proto-Turkic,Turkic
Tokelauan,Austronesian
Moksha,Uralic
Samoan,Austronesian
Yami,Austronesian
Mingrelian,Kartvelian
Rapa Nui,Austronesian
